cl	scl	ord	fam	gen	sp	ref	newref	famlab	genlab	splab	cod	dispcat	disp	area	fruit	leng	diam	frfm	pdm	sdm	seeds	seedm	ry	kjg	kjfr	pcw	lip	pro	nsc	ash	fib
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Tabernaemontana	macrocarpa	65	32	APOCYNAC	Tabernae	macrocar	TMAC	Mixed		Australasia	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	24.4	NA	NA	0.32	0.13	0.55	NA	NA
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Thevetia	nitida	22	18	APOCYNAC	Thevetia	nitida	TNIT	Mammals		NTAmerica	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	17.33	NA	87	0.04	0.02	0.89	NA	NA
Magnoliopsida	Asteridae	Gentianales	APOCYNACEAE	Unident.Apoc.1	speciesxi	40	41	APOCYNAC	Unidenti	speciesx	APOC	Mixed		Africa	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	18.12	NA	87	0.06	0.02	0.92	0	NA
Magnoliopsida	Rosidae	Celastrales	AQUIFOLIACEAE	Ilex	aquifolium1	0	17	AQUIFOLI	Ilex	aquifoli1	IAQU	Birds		MEurope	Berry1	8.5	7.9	0.29	0.04	0.1	3.2	0.03	15.2	16.91	0.74	49.8	0.03	0.05	0.73	0.05	0.16
Magnoliopsida	Rosidae	Celastrales	AQUIFOLIACEAE	Ilex	aquifolium2	3	46	AQUIFOLI	Ilex	aquifoli2	IAQU	Birds		NAmerica	Drupe2	NA	NA	NA	NA	NA	NA	NA	NA	17.79	NA	73	0.04	0.06	0.9	NA	NA
Magnoliopsida	Rosidae	Celastrales	AQUIFOLIACEAE	Ilex	cornuta	63	28	AQUIFOLI	Ilex	cornuta	ICOR	Birds		NAmerica	Drupe2	NA	9.8	0.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Celastrales	AQUIFOLIACEAE	Ilex	decidua	63	28	AQUIFOLI	Ilex	decidua	IDEC	Birds		NAmerica	Drupe2	NA	7.3	0.25	NA	NA	NA	NA	NA	19.17	NA	NA	NA	0.04	NA	NA	NA
Magnoliopsida	Rosidae	Celastrales	AQUIFOLIACEAE	Ilex	mitis	61	8	AQUIFOLI	Ilex	mitis	IMIT	Birds		Africa	Drupe1	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Celastrales	AQUIFOLIACEAE	Ilex	opaca1	3	46	AQUIFOLI	Ilex	opaca1	IOPA	Birds		NAmerica	Drupe2	NA	NA	0.35	0.03	0.12	NA	NA	7.7	15.82	0.43	82.2	0.02	0.05	0.82	0.1	NA
Magnoliopsida	Rosidae	Celastrales	AQUIFOLIACEAE	Ilex	opaca2	63	28	AQUIFOLI	Ilex	opaca2	IOPA	Birds		NAmerica	Drupe2	NA	9	0.47	NA	NA	NA	NA	NA	18	NA	NA	NA	0.05	NA	NA	NA
Magnoliopsida	Rosidae	Celastrales	AQUIFOLIACEAE	Ilex	vomitoria	63	28	AQUIFOLI	Ilex	vomitori	IVOM	Birds		NAmerica	Drupe2	NA	7.1	0.16	NA	NA	NA	NA	NA	21.47	NA	NA	NA	0.03	NA	NA	NA
Liliopsida	Arecidae	Arales	ARACEAE	Anthurium	brownii	35	48	ARACEAE	Anthuriu	brownii	ABRO	Birds		NTAmerica	Drupe2	NA	NA	0.11	0.02	0.03	2	0.02	14.1	16.41	0.25	79.4	NA	NA	0.43	NA	NA
Liliopsida	Arecidae	Arales	ARACEAE	Anthurium	clavigerum	35	48	ARACEAE	Anthuriu	claviger	ACLA	Birds		NTAmerica	Drupe2	NA	NA	0.08	0.01	0.02	2	0.01	16.4	16.32	0.21	79.7	NA	0.01	0.43	NA	NA
Liliopsida	Arecidae	Arales	ARACEAE	Arisaema	triphyllum	37	22	ARACEAE	Arisaema	triphyll	ATRI	Birds		NAmerica	Drupe1	NA	7.2	0.2	0.01	NA	1.5	NA	5.4	19.21	0.21	90.8	0.04	0.06	0.36	NA	NA
Liliopsida	Arecidae	Arales	ARACEAE	Arum	italicum	0	17	ARACEAE	Arum	italicum	AITA	Birds		MEurope	Drupe2	11.1	9.2	0.39	0.05	0.08	2.2	0.04	13.3	16.28	0.84	65.1	0.02	0.07	0.77	0.07	0.08
Liliopsida	Arecidae	Arales	ARACEAE	Heteropsis	jenmanii	71	9	ARACEAE	Heterops	jenmanii	HJEN	Birds		NTAmerica	Berry2	16	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Liliopsida	Arecidae	Arales	ARACEAE	Pothos	loureirii	43	4	ARACEAE	Pothos	loureiri	PLOU	Birds		Australasia	Drupe2	13.8	9.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Liliopsida	Arecidae	Arales	ARACEAE	Xanthosoma	microrhiza	58	7	ARACEAE	Xanthoso	microrhi	XMIC	Mixed		NTAmerica	Berry2	NA	NA	NA	NA	NA	NA	NA	NA	8.25	NA	88.4	0.02	0.11	0.32	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Cussonia	spicata	61	8	ARALIACE	Cussonia	spicata	CSPI	Mixed		Africa	Drupe1	4.5	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Dendropanax	sp.1	38	49	ARALIACE	Dendropa	sp.1	DSP	Birds		NTAmerica	Berry2	9.5	11.7	0.62	0.15	0.04	3	0.01	23.9	NA	NA	71.7	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Dendropanax	sp.2	1	39	ARALIACE	Dendropa	sp.2	DSP	Birds		NTAmerica	Berry1	NA	NA	NA	NA	NA	1	NA	NA	23.31	NA	NA	0.24	0.11	0.65	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Didymopanax	morototoni	11	40	ARALIACE	Didymopa	morototo	DMOR	Birds		NTAmerica	Berry1	NA	NA	0.41	0.12	0.01	1	0.05	28.5	25.49	2.96	68	0.34	0.12	0.55	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Gastonia	spectabilis	39	3	ARALIACE	Gastonia	spectabi	GSPE	Birds		Australasia	Berry2	9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Hedera	helix1	3	46	ARALIACE	Hedera	helix1	HHEL	Birds		NAmerica	Berry1	NA	NA	NA	NA	NA	NA	NA	NA	20.16	NA	73	0.13	0.2	0.67	NA	NA
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Hedera	helix2	0	17	ARALIACE	Hedera	helix2	HHEL	Birds		MEurope	Drupe2	7.2	8.4	0.28	0.05	0.04	2.2	0.02	18.4	24.28	1.26	70	0.32	0.05	0.47	0.01	0.16
Magnoliopsida	Rosidae	Apiales	ARALIACEAE	Oreopanax	oerstedianum	38	49	ARALIACE	Oreopana	oerstedi	OOER	Birds		NTAmerica	Berry2	9.3	7.1	0.21	0.04	0.01	1.3	0.01	19.4	NA	NA	74.8	NA	NA	NA	NA	NA
