FAMILY	GENUS	SPECIES	NEWREF	REFERENCE
DILLENIACEAE	Doliocarpus	dentata	48	Worthington, A.H. (1989)
DILLENIACEAE	Doliocarpus	major	48	Worthington, A.H. (1989)
DILLENIACEAE	Doliocarpus	sp.1	9	Erard, C., M. Thery and D. Sabatier (1989)
DILLENIACEAE	Hibbertia	scandens	4	Crome, F.H.J. (1975)
DIOSCOREACEAE	Tamus	communis	17	Herrera, C.M. (1987)
EBENACEAE	Diospyros	abyssinica	8	Dowsett-Lemaire, F. (1988)
EBENACEAE	Diospyros	cf.iturensis	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
EBENACEAE	Diospyros	cf.viridicans	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
EBENACEAE	Diospyros	dendo	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
EBENACEAE	Diospyros	lycioides	43	Viljoen, S. (1983)
EBENACEAE	Diospyros	mespiliformis1	8	Dowsett-Lemaire, F. (1988)
EBENACEAE	Diospyros	mespiliformis2	43	Viljoen, S. (1983)
EBENACEAE	Diospyros	natalensis	43	Viljoen, S. (1983)
EBENACEAE	Diospyros	polystemon	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
EBENACEAE	Diospyros	whyteana	8	Dowsett-Lemaire, F. (1988)
EBENACEAE	Euclea	divinorum	8	Dowsett-Lemaire, F. (1988)
EBENACEAE	Euclea	natalensis1	43	Viljoen, S. (1983)
EBENACEAE	Euclea	natalensis2	15	Frost, P.G.H. (1980)
ELAEAGNACEAE	Hippophae	rhamnoides	17	Herrera, C.M. (1987)
ELAEOCARPACEAE	Aceratium	megalospermum	4	Crome, F.H.J. (1975)
ELAEOCARPACEAE	Elaeocarpus	amhemicus	4	Crome, F.H.J. (1975)
ELAEOCARPACEAE	Elaeocarpus	dentatus	47	Williams, C.K. (1982)
ELAEOCARPACEAE	Elaeocarpus	grahamii	4	Crome, F.H.J. (1975)
ELAEOCARPACEAE	Elaeocarpus	grandis	4	Crome, F.H.J. (1975)
ELAEOCARPACEAE	Elaeocarpus	largifloreus	4	Crome, F.H.J. (1975)
ELAEOCARPACEAE	Muntingia	calabura	49	Herrera, C.M. and P. Jordano (unpubl. data)
ELAEOCARPACEAE	Sloanea	cf.Aberrans	3	Beehler, B. (1983)
ELAEOCARPACEAE	Sloanea	cf.Sogerensis	3	Beehler, B. (1983)
ELAEOCARPACEAE	Sloanea	laurifolia	24	Keeler-Wolf, T. (1988)
EMPETRACEAE	Corema	album	17	Herrera, C.M. (1987)
EMPETRACEAE	Empetrum	nigrum	10	Eriksson, O. and J. Ehrlen (1991)
ERICACEAE	Arbutus	unedo	17	Herrera, C.M. (1987)
ERICACEAE	Arctostaphylos	uva-ursi	17	Herrera, C.M. (1987)
ERICACEAE	Cavendishia	smithii	49	Herrera, C.M. and P. Jordano (unpubl. data)
ERICACEAE	Gaultheria	appressa	14	French, K. (1991)
ERICACEAE	Macleania	glabra	49	Herrera, C.M. and P. Jordano (unpubl. data)
ERICACEAE	Pernettya	coriacea	49	Herrera, C.M. and P. Jordano (unpubl. data)
ERICACEAE	Vaccinium	consanguineum	49	Herrera, C.M. and P. Jordano (unpubl. data)
ERICACEAE	Vaccinium	macrocarpa	46	White, S.C. (1974)
ERICACEAE	Vaccinium	myrtillus	17	Herrera, C.M. (1987)
ERICACEAE	Vaccinium	oxycoccos	10	Eriksson, O. and J. Ehrlen (1991)
ERICACEAE	Vaccinium	sp.1	46	White, S.C. (1974)
ERICACEAE	Vaccinium	uliginosum	17	Herrera, C.M. (1987)
ERICACEAE	Vaccinium	vitis-idaea	10	Eriksson, O. and J. Ehrlen (1991)
EUPHORBIACEAE	Antidesma	venosum	43	Viljoen, S. (1983)
EUPHORBIACEAE	Aporusa	cf.Nigro-punctata	3	Beehler, B. (1983)
EUPHORBIACEAE	Breynia	stipitata	4	Crome, F.H.J. (1975)
EUPHORBIACEAE	Bridelia	bridelliiflora	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Bridelia	micrantha1	15	Frost, P.G.H. (1980)
EUPHORBIACEAE	Bridelia	micrantha2	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Clutia	abyssinica	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Croton	macrostachys	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Croton	sylvaticus	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Drypetes	gerrardii	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Endospermum	medullosum	3	Beehler, B. (1983)
EUPHORBIACEAE	Erythroccoca	hirta	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Glochidion	ferdinandi	4	Crome, F.H.J. (1975)
EUPHORBIACEAE	Glochidion	sp.	3	Beehler, B. (1983)
EUPHORBIACEAE	Homalanthus	novoguineensis	3	Beehler, B. (1983)
EUPHORBIACEAE	Homalanthus	populifolius	4	Crome, F.H.J. (1975)
EUPHORBIACEAE	Macaranga	capensis	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Macaranga	kilimandscharica	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Neoboutonia	macrocalyx1	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Neoboutonia	macrocalyx2	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Richeria	olivieri	24	Keeler-Wolf, T. (1988)
EUPHORBIACEAE	Sapium	ellipticum	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Sapium	integerrimum	43	Viljoen, S. (1983)
EUPHORBIACEAE	Uapaca	guineensis	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
EUPHORBIACEAE	Uapaca	kirkiana	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Uapaca	nitida	8	Dowsett-Lemaire, F. (1988)
EUPHORBIACEAE	Uapaca	paludosa	41	Sourd, C. and A. Gauthier-Hion (1986)
EUPHORBIACEAE	Uapaca	sansibarica	8	Dowsett-Lemaire, F. (1988)
FLACOURTIACEAE	Aphloia	theiformis	8	Dowsett-Lemaire, F. (1988)
FLACOURTIACEAE	Caloncoba	welwitschii	41	Sourd, C. and A. Gauthier-Hion (1986)
FLACOURTIACEAE	Casearia	battiscombei	8	Dowsett-Lemaire, F. (1988)
FLACOURTIACEAE	Dovyalis	longispina1	15	Frost, P.G.H. (1980)
FLACOURTIACEAE	Dovyalis	longispina2	43	Viljoen, S. (1983)
FLACOURTIACEAE	Hasseltia	floribunda	48	Worthington, A.H. (1989)
FLACOURTIACEAE	Kiggelaria	africana	8	Dowsett-Lemaire, F. (1988)
FLACOURTIACEAE	Laetia	procera	9	Erard, C., M. Thery and D. Sabatier (1989)
FLACOURTIACEAE	Scolopia	stolzii	8	Dowsett-Lemaire, F. (1988)
GESNERIACEAE	Drymonia	rubra	7	Dinerstein, E. (1986)
GROSSULARIACEAE	Ribes	alpinum1	5	Debussche, M., J. Cortez and I. Rimbault (1987)
GROSSULARIACEAE	Ribes	alpinum2	17	Herrera, C.M. (1987)
GROSSULARIACEAE	Ribes	hudsonianum	33	Piper, J.K. (1986)
GROSSULARIACEAE	Ribes	lacustre	33	Piper, J.K. (1986)
GROSSULARIACEAE	Ribes	sp.1	46	White, S.C. (1974)
GROSSULARIACEAE	Ribes	viscosissimum	33	Piper, J.K. (1986)
GUTTIFERAE	Garcinia	kingaensis	43	Viljoen, S. (1983)
GUTTIFERAE	Garcinia	livingstonei	8	Dowsett-Lemaire, F. (1988)
GUTTIFERAE	Harungana	madagascariensis	8	Dowsett-Lemaire, F. (1988)
GUTTIFERAE	Mammea	africana	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
GUTTIFERAE	Pentadesma	butyracea	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
GUTTIFERAE	Symphonia	globulifera	2	Atramentowicz, M. (1988)
GUTTIFERAE	Tovomita	choisyana	9	Erard, C., M. Thery and D. Sabatier (1989)
GUTTIFERAE	Vismia	guianensis	2	Atramentowicz, M. (1988)
HELICONIACEAE	Heliconia	latispatha	48	Worthington, A.H. (1989)
HELICONIACEAE	Heliconia	mouriri	46	White, S.C. (1974)
HELICONIACEAE	Heliconia	pendula	9	Erard, C., M. Thery and D. Sabatier (1989)
ICACINACEAE	Apodytes	dimidiata	15	Frost, P.G.H. (1980)
ICACINACEAE	Apodytes	dimidiata	43	Viljoen, S. (1983)
ICACINACEAE	Citronella	smithii	4	Crome, F.H.J. (1975)
ICACINACEAE	Gomphandra	australiana	4	Crome, F.H.J. (1975)
ICACINACEAE	Mappia	racemosa	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
IRIDACEAE	Iris	foetidissima	17	Herrera, C.M. (1987)
LAURACEAE	Beilschmiedia	costaricensis	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Beilschmiedia	sp.	35	Rogers, M.E., F. Maisels, E.A. Williamson, M. Fern‡ndez and C.E.G. Tutin (1990)
LAURACEAE	Beilschmiedia	sp.bc	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Beilschmiedia	sp.bl	45	Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)
LAURACEAE	Cinnamomum	elongatum	39	Snow, D.W. (1962)
LAURACEAE	Cinnamomum	laubatii	4	Crome, F.H.J. (1975)
LAURACEAE	Cryptocarya	aff.cinnamifolia	4	Crome, F.H.J. (1975)
LAURACEAE	Cryptocarya	hypospodia	4	Crome, F.H.J. (1975)
LAURACEAE	Cryptocarya	libertiana	8	Dowsett-Lemaire, F. (1988)
LAURACEAE	Cryptocarya	mackinnoniona	4	Crome, F.H.J. (1975)
LAURACEAE	Endiandra	hypotephra	4	Crome, F.H.J. (1975)
LAURACEAE	Endiandra	montana	4	Crome, F.H.J. (1975)
LAURACEAE	Endiandra	muelleri	4	Crome, F.H.J. (1975)
LAURACEAE	Endiandra	rfk15	4	Crome, F.H.J. (1975)
LAURACEAE	Endiandra	sankeyana	4	Crome, F.H.J. (1975)
LAURACEAE	Laurus	nobilis	17	Herrera, C.M. (1987)
LAURACEAE	Lindera	benzoin1	46	White, S.C. (1974)
LAURACEAE	Lindera	benzoin2	22	Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)
LAURACEAE	Litsea	bindoniana	4	Crome, F.H.J. (1975)
LAURACEAE	Litsea	glutinosa	4	Crome, F.H.J. (1975)
LAURACEAE	Litsea	leefeana	4	Crome, F.H.J. (1975)
